objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790010,1n.3.1,Porcentaje de población de 65 años o más que recibe jubilación o pensión (contributiva o no contributiva) por un monto igual o mayor al valor promedio de la línea de pobreza por ingresos,1737,84,True,Nacional,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790015,1n.3.1.a,"Porcentaje de población de 65 años o más que recibe jubilación o pensión (contributiva o no contributiva) por un monto igual o mayor al valor promedio de la línea de pobreza por ingresos, por desglose geográfico",1642,132,True,Nacional,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790020,1n.3.2,Porcentaje de población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral,1660,72,True,Nacional,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790025,1n.3.2.a,"Porcentaje de población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral, por desglose geográfico",1713,132,True,Nacional,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790030,1n.3.3,Porcentaje de la población que presenta carencia por acceso a la seguridad social,2149,96,True,Nacional,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790040,1n.3.3.a,"Porcentaje de la población que presenta carencia por acceso a la seguridad social, por desglose geográfico y grupo poblacional (Entidad Federativa)",1707,1320,True,Nacional,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100079,Meta 1n.3,Construcción de un sistema de protección social con un enfoque de derechos,ODS001000790050,1n.3.3.b,"Porcentaje de la población que presenta carencia por acceso a la seguridad social, por desglose geográfico y grupo poblacional  (Municipio o demarcación territorial)",1728,75090,True,Nacional,Desglose por entidad federativa y municipio
ODS0020,Hambre cero,ODS00200005,Meta 2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",ODS002000050015,2.1.2(1),"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad (2016 - 2022)",854,36,True,Global,Sin desglose geográfico
ODS0020,Hambre cero,ODS00200005,Meta 2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",ODS002000050017,2.1.2(2),"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad (2008 - 2014)<b><i> [Histórico] </i></b>",2177,36,True,Global,Sin desglose geográfico
ODS0020,Hambre cero,ODS00200005,Meta 2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",ODS002000050020,2.1.2.a,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico (Entidad federativa)",594,132,True,Global,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200005,Meta 2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",ODS002000050030,2.1.2.b,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico (Municipio o demarcación territorial)",2180,7509,True,Global,Desglose por entidad federativa y municipio
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080010,2.2.1,"Prevalencia del retraso en el crecimiento (estatura para la edad, desviación típica < -2 de la mediana de los patrones de crecimiento infantil de la Organización Mundial de la Salud (OMS)) entre la población menor a 5 años",1624,1320,True,Global,Desglose por entidad federativa
